agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email,agency_name_romanized,agency_name_brand,agency_state,agency_logo_url,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
ATC,Astra Trans Carpatic SRL,https://astratranscarpatic.ro,EET,ro,,,,,,RO,https://back-on-track.eu/wp-content/uploads/2025/03/logo_atc.jpg,,,,,,,,,,,,,,,,,,,,
BDŽ,БДЖ - Пътнически превози ЕООД,https://www.bdz.bg,EET,bg,,,,Balgarski darzhavni zheleznitsi,,BG,https://back-on-track.eu/wp-content/uploads/2025/03/logo_bdz.jpg,,,,,,,,,,,,,,,,,,,,
ČD,České dráhy a.s.,https://www.cd.cz,CET,cs,,https://www.cd.cz/en/nase-vlaky/nocni-vlaky/-27543/,,,,CZ,https://back-on-track.eu/wp-content/uploads/2025/03/logo_cd.jpg,,,,,,,,,,,,,,,,,,,,
CFM,Calea Ferată din Moldova,http://railway.md,EET,ro,,,,,,MD,https://back-on-track.eu/wp-content/uploads/2025/03/logo_cfm.jpg,,,,,,,,,,,,,,,,,,,,
CFR,C.F.R. Călători S.A.,https://www.cfrcalatori.ro,EET,ro,,,,,,RO,https://back-on-track.eu/wp-content/uploads/2025/03/logo_cfr.jpg,,,,,,,,,,,,,,,,,,,,
CS,Caledonian Sleeper Ltd.,https://www.sleeper.scot,WET,en,,,,,Caledonian Sleeper,UK,https://back-on-track.eu/wp-content/uploads/2025/03/logo_cs.jpg,,,,,,,,,,,,,,,,,,,,
ES,European Sleeper Cooperatïe,https://www.europeansleeper.eu,CET,nl,,,,,,NL,https://back-on-track.eu/wp-content/uploads/2025/03/logo_es.jpg,,,,,,,,,,,,,,,,,,,,
FS,Trenitalia S.p.A,https://www.trenitalia.com,CET,en,,,,,,IT,https://back-on-track.eu/wp-content/uploads/2025/03/logo_fs.jpg,,,,,,,,,,,,,,,,,,,,
GA,Go-Ahead Norge AS,https://go-aheadnordic.com,CET,nb,,,,,Go-Ahead Nordic,UK,https://back-on-track.eu/wp-content/uploads/2025/03/logo_ga.jpg,,,,,,,,,,,,,,,,,,,,
GWR,First Greater Western Ltd.,https://www.gwr.com,WET,en,,,,,Great Western,UK,https://back-on-track.eu/wp-content/uploads/2025/03/logo_gwr.jpg,,,,,,,,,,,,,,,,,,,,
HŽPP,HŽ Putnički prijevoz d.o.o.,https://www.hzpp.hr,CET,hr,,,,,,HR,https://back-on-track.eu/wp-content/uploads/2025/03/logo_hzpp.jpg,,,,,,,,,,,,,,,,,,,,
MÁV,MÁV-START Vasúti Személyszállító Zrt.,https://www.mavcsoport.hu,CET,hu,,https://jegy.mav.hu/,,,,HU,https://back-on-track.eu/wp-content/uploads/2025/03/logo_mav.jpg,,,,,,,,,,,,,,,,,,,,
MT,00H00 SAS,https://www.midnight-trains.com,CET,fr,,,,,Midnight Trains,FR,https://back-on-track.eu/wp-content/uploads/2025/03/logo_mt.jpg,,,,,,,,,,,,,,,,,,,,
ÖBB,ÖBB-Personenverkehr AG,https://personenverkehr.oebb.at,CET,de-AT,,https://www.nightjet.com/,,,nightjet,AT,https://back-on-track.eu/wp-content/uploads/2025/03/logo_obb.jpg,,,,,,,,,,,,,,,,,,,,
OTE,Optima Tours,https://www.optimatours.de,CET,de,,,,,,DE,https://back-on-track.eu/wp-content/uploads/2025/03/logo_ote.jpg,,,,,,,,,,,,,,,,,,,,
PKP,PKP Intercity S.A.,https://www.intercity.pl,CET,pl,,,,,,PL,https://back-on-track.eu/wp-content/uploads/2025/04/logo_pkp.jpg,,,,,,,,,,,,,,,,,,,,
RDC,RDC Deutschland,https://www.rdc-deutschland.de,CET,de,,,,,BahnTouristikExpress,US,https://back-on-track.eu/wp-content/uploads/2025/03/logo_rdc.jpg,,,,,,,,,,,,,,,,,,,,
RJ,RegioJet a.s.,https://regiojet.com,CET,cs,,,,,,CZ,https://back-on-track.eu/wp-content/uploads/2025/03/logo_rj.jpg,,,,,,,,,,,,,,,,,,,,
SJ,SJ AB,https://www.sj.se,CET,sv,,,,,,SE,https://back-on-track.eu/wp-content/uploads/2025/03/logo_sj.jpg,,,,,,,,,,,,,,,,,,,,
SJN,SJ Norge AS,https://www.sj.no/,CET,nb,,,,,SJ Nord,NO,https://back-on-track.eu/wp-content/uploads/2025/03/logo_sjn.jpg,,,,,,,,,,,,,,,,,,,,
SNCF,SNCF Voyageurs SA,https://www.sncf.com,CET,fr,,https://www.sncf-connect.com/en-en/,,,SNCF,FR,https://back-on-track.eu/wp-content/uploads/2025/03/logo_sncf.jpg,,,,,,,,,,,,,,,,,,,,
ST,Merresor AB,https://www.snalltaget.se,CET,sv,,,,,Snälltåget,DE,https://back-on-track.eu/wp-content/uploads/2025/03/logo_st.jpg,,,,,,,,,,,,,,,,,,,,
TCDD,TCDD Taşımacılık A.Ş.,https://www.tcddtasimacilik.gov.tr/,Europe/Istanbul,tr,,,,,,TR,https://back-on-track.eu/wp-content/uploads/2025/03/logo_tcdd.jpg,,,,,,,,,,,,,,,,,,,,
UEX,Train4you Vertriebs GmbH,https://buchung.urlaubs-express.de/,CET,de,,https://buchung.urlaubs-express.de/,,,Urlaubs-Express,DE,https://back-on-track.eu/wp-content/uploads/2025/03/logo_uex.jpg,,,,,,,,,,,,,,,,,,,,
UZ,Укрзалізниця,https://www.uz.gov.ua/,EET,uk,,https://booking.uz.gov.ua/,,Ukrzaliznytsia,,UA,https://back-on-track.eu/wp-content/uploads/2025/03/logo_uz.jpg,,,,,,,,,,,,,,,,,,,,
VR,VR-Yhtymä Oy,https://www.vr.fi,EET,fi,,,,,,FI,https://back-on-track.eu/wp-content/uploads/2025/03/logo_vr.jpg,,,,,,,,,,,,,,,,,,,,
VY,Vygruppen AS,https://www.vy.no,CET,nb,,,,,,NO,https://back-on-track.eu/wp-content/uploads/2025/03/logo_vy.jpg,,,,,,,,,,,,,,,,,,,,
ŽPCG,Željeznički prevoz Crne Gore AD,https://www.zcg-prevoz.me,CET,cnr,,,,,,ME,https://back-on-track.eu/wp-content/uploads/2025/03/logo_zpcg.jpg,,,,,,,,,,,,,,,,,,,,
ŽS,Железнице Србије ад,https://srbijavoz.rs,CET,sr,,https://w3.srbvoz.rs,,Železnice Srbije,,RS,https://back-on-track.eu/wp-content/uploads/2025/03/logo_zs.jpg,,,,,,,,,,,,,,,,,,,,
ZSSK,Železničná spoločnosť Slovensko a.s.,https://www.zssk.sk,CET,sk,,,,,,SK,https://back-on-track.eu/wp-content/uploads/2025/03/logo_zssk.jpg,,,,,,,,,,,,,,,,,,,,
