trip_id,origin_name,destination_name,departure_time,arrival_time,distance_km,duration_h,train_type,total_emission_kgco2e
IDFM:TN:SNCF:0034550a-7a18-429d-9eff-947ebd5a1f85,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,18:06:00,19:52:00,128.29830966332557,1.77,Jour,0.51
IDFM:TN:SNCF:00fff477-a510-4168-8cbc-b734a6307770,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,08:35:00,09:56:00,128.29830966332557,1.35,Jour,0.51
IDFM:TN:SNCF:014d085e-d535-4629-abee-82c358f8a543,Gare d'Austerlitz,Châteaudun,13:56:00,15:21:00,114.15900905533336,1.42,Jour,0.46
IDFM:TN:SNCF:014fdd1d-78c2-473e-a47f-4094adf896fc,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,08:17:00,09:56:00,128.29830966332557,1.65,Jour,0.51
IDFM:TN:SNCF:01fdc39b-f089-4f77-8b50-906bdbe40d88,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,18:55:00,20:30:00,128.29830966332557,1.58,Jour,0.51
IDFM:TN:SNCF:037ab332-06c4-431c-89cf-0f71830a383e,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,17:27:00,18:59:00,128.28665759181973,1.53,Jour,0.51
IDFM:TN:SNCF:03a1411b-01d1-4905-b8e4-5bebe58d8b4a,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,13:35:00,14:57:00,128.28665759181973,1.37,Jour,0.51
IDFM:TN:SNCF:03f82a9c-bd10-4a75-87f5-296c925b1e7f,Laroche - Migennes,Gare de Lyon,05:53:00,07:48:00,129.07897995273925,1.92,Jour,0.52
IDFM:TN:SNCF:0484b6b9-b56c-4c51-bc20-bf21088851fd,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,14:03:00,15:27:00,128.28970372757354,1.4,Jour,0.51
IDFM:TN:SNCF:05c8c058-1481-489a-b2e2-00b962603dc4,Gare d'Austerlitz,Châteaudun,08:12:00,09:44:00,114.15900905533336,1.53,Jour,0.46
IDFM:TN:SNCF:065d5944-dba5-43d9-b398-242aba6abccb,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,19:03:00,20:27:00,128.28970372757354,1.4,Jour,0.51
IDFM:TN:SNCF:0753d387-2e79-4bda-b2a8-aa1092f28e9c,Paris-Bercy Bourgogne - Pays d'Auvergne,Châteaudun,19:20:00,20:53:30,114.82414885019467,1.56,Jour,0.46
IDFM:TN:SNCF:087ebc71-5dcd-4e32-be8f-71da245d12fa,Gare d'Austerlitz,Châteaudun,19:16:00,20:44:00,114.15900905533336,1.47,Jour,0.46
IDFM:TN:SNCF:09048e3a-cbc3-489b-960a-76e38deab6e8,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,06:03:30,07:41:00,128.29830966332557,1.62,Jour,0.51
IDFM:TN:SNCF:09523dd2-a275-4171-9dc7-353b7d4a1046,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,17:04:00,18:28:00,128.29830966332557,1.4,Jour,0.51
IDFM:TN:SNCF:09df428d-0eba-4b25-badd-ef42287314cc,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,16:14:00,17:56:00,128.29830966332557,1.7,Jour,0.51
IDFM:TN:SNCF:0a00be03-33fa-48aa-95a6-fab8149e0d64,Châteaudun,Gare d'Austerlitz,19:58:00,21:35:00,114.15900905533336,1.62,Jour,0.46
IDFM:TN:SNCF:0a495261-91e7-48f2-be2c-aaa8a6080b6f,Gare de Lyon,Laroche - Migennes,18:27:00,19:56:00,129.0673359581354,1.48,Jour,0.52
IDFM:TN:SNCF:0bb3995d-3c34-4f31-8afc-1b1d71d2f589,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,11:05:00,12:31:00,128.29830966332557,1.43,Jour,0.51
IDFM:TN:SNCF:0c293217-7a0d-4ab6-9b83-d1fd6505792c,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,21:03:00,22:27:00,128.28970372757354,1.4,Jour,0.51
IDFM:TN:SNCF:0d806467-a932-4de8-aca5-aa10c8fc21a2,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,17:29:00,18:57:00,128.29830966332557,1.47,Jour,0.51
IDFM:TN:SNCF:0dd102e2-86d8-43bc-86d2-7f75877231a7,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,19:27:00,20:57:00,128.28665759181973,1.5,Jour,0.51
IDFM:TN:SNCF:0e0b46cb-2f4f-43cd-b0dc-501ec62accc8,Châteaudun,Gare d'Austerlitz,17:09:00,18:36:00,114.15900905533336,1.45,Jour,0.46
IDFM:TN:SNCF:0e63c9ed-4ef6-441c-939a-ca76f5de22ec,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,14:03:00,15:28:00,128.29830966332557,1.42,Jour,0.51
IDFM:TN:SNCF:0edc399f-1aa2-4396-960c-c993399483d6,Gare de Lyon,Laroche - Migennes,10:31:00,11:56:00,129.07897995273925,1.42,Jour,0.52
IDFM:TN:SNCF:10275f4a-d6f8-4eed-8783-dde5b4debd50,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,22:35:00,24:15:30,128.29830966332557,1.68,Jour,0.51
IDFM:TN:SNCF:10c75a23-a721-495f-9380-185e3a691512,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,19:25:00,20:57:00,128.29830966332557,1.53,Jour,0.51
IDFM:TN:SNCF:10d0e5af-97cf-4f92-9fc5-64754ef92aa9,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,11:05:00,12:31:00,128.29830966332557,1.43,Jour,0.51
IDFM:TN:SNCF:111714b9-4fea-4c35-bc34-f10a44348c83,Laroche - Migennes,Gare de Lyon,11:03:00,12:29:00,129.07897995273925,1.43,Jour,0.52
IDFM:TN:SNCF:1141bf5d-2ff2-45cf-b125-f183463718ae,Châteaudun,Gare d'Austerlitz,12:09:00,13:37:30,114.15900905533336,1.47,Jour,0.46
IDFM:TN:SNCF:1168f2dd-9ec1-4dfa-9033-2acd1b04b375,Gare d'Austerlitz,Châteaudun,19:15:00,20:44:00,114.15900905533336,1.48,Jour,0.46
IDFM:TN:SNCF:12bc24c7-f60a-4baa-8fc6-9c45c441f4c6,Gare de Lyon,Laroche - Migennes,07:34:30,08:57:00,129.0673359581354,1.37,Jour,0.52
IDFM:TN:SNCF:130a8c44-d8d4-4304-9e89-5c00a5aac5a6,Gare d'Austerlitz,Châteaudun,19:25:00,20:53:30,114.15900905533336,1.47,Jour,0.46
IDFM:TN:SNCF:1315c51d-c300-425d-bbd7-2ecc21c79e02,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,19:03:00,20:28:00,128.29830966332557,1.42,Jour,0.51
IDFM:TN:SNCF:137242a8-b9a0-4a7c-aa49-19be53f0ff2b,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,20:04:00,21:50:00,128.28970372757354,1.77,Jour,0.51
IDFM:TN:SNCF:15fdc477-5fa6-49a5-832a-a2d77b76438b,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,14:35:00,15:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:16e9c3d0-5e69-4e70-99ad-326de9bcd631,Laroche - Migennes,Gare de Lyon,09:03:00,10:30:00,129.07897995273925,1.45,Jour,0.52
IDFM:TN:SNCF:1751829e-c753-452a-a164-910d8c8eff35,Gare de Lyon,Laroche - Migennes,19:13:00,21:08:00,129.07897995273925,1.92,Jour,0.52
IDFM:TN:SNCF:17727bed-57af-4d0d-a91d-f7f9cb8b8a65,Châteaudun,Gare d'Austerlitz,10:54:30,12:36:30,114.15900905533336,1.7,Jour,0.46
IDFM:TN:SNCF:17a77573-b06f-492e-a0ca-c715bd518632,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,13:05:00,14:33:00,128.29830966332557,1.47,Jour,0.51
IDFM:TN:SNCF:17ed8a50-ad52-4df1-8905-39eddac6d744,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,17:27:00,18:59:00,128.29830966332557,1.53,Jour,0.51
IDFM:TN:SNCF:18236db3-2f38-4015-808b-c567dbd6fe10,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,15:03:00,16:37:00,128.29830966332557,1.57,Jour,0.51
IDFM:TN:SNCF:1894e30f-9d6c-4aab-81f8-6c2b2b5d70b9,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,10:35:00,11:56:00,128.29830966332557,1.35,Jour,0.51
IDFM:TN:SNCF:18b68671-7a38-48df-a327-360b91b6e8c1,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,12:16:00,13:56:00,128.29830966332557,1.67,Jour,0.51
IDFM:TN:SNCF:18bfcb12-1e81-4278-9c0f-6d8cee743f56,Laroche - Migennes,Gare de Lyon,04:53:00,06:47:30,129.07897995273925,1.91,Jour,0.52
IDFM:TN:SNCF:195786c7-a879-4182-aa16-a3f4694e9d82,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,08:03:30,09:33:30,128.29830966332557,1.5,Jour,0.51
IDFM:TN:SNCF:19903666-92e2-4070-b529-8a9973edfa6b,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,09:23:00,10:57:00,128.28665759181973,1.57,Jour,0.51
IDFM:TN:SNCF:19e83047-d844-4943-a011-ef7354ed51f3,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,14:03:00,15:40:00,128.29830966332557,1.62,Jour,0.51
IDFM:TN:SNCF:19f155b7-0357-46e2-bd93-2f8db49f7f30,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,10:35:00,11:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:19f8c13d-73a0-4283-ac35-3368829a8ce6,Laroche - Migennes,Gare de Lyon,06:51:00,08:49:00,129.07897995273925,1.97,Jour,0.52
IDFM:TN:SNCF:1a702c91-738c-4d9d-b80a-879830a63f72,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,13:33:00,15:09:00,128.29830966332557,1.6,Jour,0.51
IDFM:TN:SNCF:1a9ca4c7-6db4-4135-9efd-f76c457f2125,Paris-Bercy Bourgogne - Pays d'Auvergne,Châteaudun,13:50:00,15:21:00,114.82414885019467,1.52,Jour,0.46
IDFM:TN:SNCF:1b2f660a-cadb-4b5d-a87b-37d4573407fd,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,13:33:00,14:57:00,128.29830966332557,1.4,Jour,0.51
IDFM:TN:SNCF:1d20411e-9d21-4037-9439-a49d939539ce,Laroche - Migennes,Gare de Lyon,10:04:00,11:33:00,129.07897995273925,1.48,Jour,0.52
IDFM:TN:SNCF:1de78326-a33f-4a36-9b1e-58e2cb458709,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,12:35:00,13:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:1e69cbfd-c51b-4859-bac8-e72bb7f3bb50,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,05:03:30,06:35:00,128.28970372757354,1.52,Jour,0.51
IDFM:TN:SNCF:1f3bb632-7755-467c-b73b-0a5a0f11e7ec,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,19:03:00,20:27:00,128.28970372757354,1.4,Jour,0.51
IDFM:TN:SNCF:1fd43270-091f-437d-ac78-726978f9591f,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,14:35:00,15:56:00,128.29830966332557,1.35,Jour,0.51
IDFM:TN:SNCF:211cb789-920b-485f-888f-e259b0b02cb1,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,22:47:00,24:44:00,128.29830966332557,1.95,Jour,0.51
IDFM:TN:SNCF:2148a891-13b1-4a4d-b841-c436e37ea338,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,06:03:30,07:33:00,128.28970372757354,1.49,Jour,0.51
IDFM:TN:SNCF:218d9a22-4fb0-40ff-9d21-a5666bf7c665,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,15:32:00,16:56:30,128.28665759181973,1.41,Jour,0.51
IDFM:TN:SNCF:21b44e0e-5dfc-497f-8d41-c1f85bb7e72b,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,08:03:30,09:33:30,128.29830966332557,1.5,Jour,0.51
IDFM:TN:SNCF:23d67da1-c58b-4752-af3a-f9143771116c,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,17:22:00,18:57:00,128.29830966332557,1.58,Jour,0.51
IDFM:TN:SNCF:23f8ab70-ff94-4952-bea0-f6fc39d0a495,Gare de Lyon,Laroche - Migennes,07:34:30,08:57:00,129.0673359581354,1.37,Jour,0.52
IDFM:TN:SNCF:25391313-60d6-4976-871c-8aa28a329f83,Gare de Lyon,Laroche - Migennes,11:35:00,12:57:00,129.07897995273925,1.37,Jour,0.52
IDFM:TN:SNCF:25539331-2a76-4040-b108-0c77802a99a7,Laroche - Migennes,Gare de Lyon,05:53:00,07:48:00,129.07897995273925,1.92,Jour,0.52
IDFM:TN:SNCF:2577598f-b21f-493c-b9bc-d0eded1c0f89,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,16:27:00,17:56:00,128.29830966332557,1.48,Jour,0.51
IDFM:TN:SNCF:270e5a46-b398-420c-bb7f-d1ea761a2f0d,Laroche - Migennes,Gare de Lyon,16:03:00,17:27:30,129.07038042366028,1.41,Jour,0.52
IDFM:TN:SNCF:2778c60c-df6d-434e-9f60-517290d49966,Gare de Lyon,Laroche - Migennes,18:17:30,19:56:00,129.07897995273925,1.64,Jour,0.52
IDFM:TN:SNCF:28e10103-adeb-4b6f-94fc-e1ff6e2a4063,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,08:03:30,09:27:00,128.28970372757354,1.39,Jour,0.51
IDFM:TN:SNCF:298f806e-b866-48a6-adb3-a5096992d9bc,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,10:04:00,11:33:00,128.28970372757354,1.48,Jour,0.51
IDFM:TN:SNCF:29dd3309-4ca0-4ede-b7f9-ce1a5443ab1e,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,17:27:00,18:57:00,128.28665759181973,1.5,Jour,0.51
IDFM:TN:SNCF:2a8e0c5d-2ff1-4db9-85c3-f334cd026175,Gare de Lyon,Laroche - Migennes,07:34:30,08:57:30,129.07897995273925,1.38,Jour,0.52
IDFM:TN:SNCF:2ac55c53-d0e7-4dd0-87da-d3c0e40178a5,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,17:04:00,18:27:00,128.28970372757354,1.38,Jour,0.51
IDFM:TN:SNCF:2be03207-dc64-415c-a3c8-bf3c6e42d64c,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,12:04:00,13:28:00,128.29830966332557,1.4,Jour,0.51
IDFM:TN:SNCF:2ca4fdea-2989-4ca6-8b45-8b7f7f8fcc90,Gare d'Austerlitz,Châteaudun,17:59:00,19:35:00,114.15900905533336,1.6,Jour,0.46
IDFM:TN:SNCF:2dd66b19-1ef0-4d8b-805f-5cf6cd6d6c88,Châteaudun,Gare d'Austerlitz,17:08:30,18:35:30,114.15900905533336,1.45,Jour,0.46
IDFM:TN:SNCF:2eef34a3-53bd-4e4b-8597-210b5547b68d,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,15:03:00,16:27:00,128.28970372757354,1.4,Jour,0.51
IDFM:TN:SNCF:2f8725b9-8586-4e25-bca0-f8637ce381b9,Gare d'Austerlitz,Châteaudun,16:25:00,17:56:00,114.15900905533336,1.52,Jour,0.46
IDFM:TN:SNCF:2fd125e0-22ff-4fd7-934b-6019113e21b5,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,08:03:30,09:33:30,128.29830966332557,1.5,Jour,0.51
IDFM:TN:SNCF:3073242e-c753-4a46-bdd3-b4352087a028,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,11:03:00,12:27:00,128.28970372757354,1.4,Jour,0.51
IDFM:TN:SNCF:312c3722-b7e4-4b07-ab90-21c797219f5a,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,13:35:00,14:57:00,128.29830966332557,1.37,Jour,0.51
IDFM:TN:SNCF:31913434-ce25-4077-9b2f-9cc321506df6,Laroche - Migennes,Gare de Lyon,05:53:00,07:55:00,129.07897995273925,2.03,Jour,0.52
IDFM:TN:SNCF:3192546e-02cf-4388-8c16-7579ce92fe20,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,13:03:30,14:27:00,128.28970372757354,1.39,Jour,0.51
IDFM:TN:SNCF:31e2fd0d-b72f-4b40-b4a6-b3c37fcae74c,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,18:05:00,19:46:00,128.29830966332557,1.68,Jour,0.51
IDFM:TN:SNCF:32a35e65-c550-43cb-92fa-daa674e9ef61,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,07:03:00,08:30:00,128.28970372757354,1.45,Jour,0.51
IDFM:TN:SNCF:32a82379-d5c5-4c8f-a469-759a2f076791,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,07:03:00,08:38:00,128.28970372757354,1.58,Jour,0.51
IDFM:TN:SNCF:32f05bf6-bdb2-4fb7-9b9e-134b4f2f94ba,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,08:35:00,09:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:33e4adc0-13c8-499a-acd2-7ff83df116bd,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,11:05:00,12:30:00,128.29830966332557,1.42,Jour,0.51
IDFM:TN:SNCF:34535124-a3fe-4b30-afe0-6ecc0aad81ec,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,15:35:00,16:57:30,128.29830966332557,1.37,Jour,0.51
IDFM:TN:SNCF:34809493-482d-407e-9777-45a28cfb7734,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,11:33:00,13:09:00,128.29830966332557,1.6,Jour,0.51
IDFM:TN:SNCF:3484e9f9-bdfe-49b8-ba81-a5fcf6676da6,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,05:03:30,06:35:00,128.29830966332557,1.52,Jour,0.51
IDFM:TN:SNCF:3781a4f2-f7f0-4535-a830-ed7910429ebf,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,13:05:00,14:33:00,128.29830966332557,1.47,Jour,0.51
IDFM:TN:SNCF:381b063a-601c-4c26-a6ed-93d41e40e634,Gare d'Austerlitz,Châteaudun,09:39:00,11:19:00,114.15900905533336,1.67,Jour,0.46
IDFM:TN:SNCF:38624c5d-c8d4-4e8b-8f30-355c8b80e052,Châteaudun,Gare d'Austerlitz,12:09:00,13:37:30,114.15900905533336,1.47,Jour,0.46
IDFM:TN:SNCF:392c4292-89df-4c70-959c-365359898506,Gare de Lyon,Laroche - Migennes,08:33:00,09:56:00,129.07897995273925,1.38,Jour,0.52
IDFM:TN:SNCF:3bb35eb7-82c3-4529-a282-d9a8e5efbbe6,Laroche - Migennes,Gare de Lyon,06:51:00,08:49:00,129.07897995273925,1.97,Jour,0.52
IDFM:TN:SNCF:3bf3ce4b-8717-4137-98f5-4a17f4e906d3,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,10:33:00,11:57:00,128.29830966332557,1.4,Jour,0.51
IDFM:TN:SNCF:3c01de8f-f5f8-4ec9-9a95-156720ed8ef8,Laroche - Migennes,Gare de Lyon,05:53:00,07:48:00,129.07897995273925,1.92,Jour,0.52
IDFM:TN:SNCF:3ca85ea5-19b5-4e0b-83dc-0ec7ed78f038,Châteaudun,Gare d'Austerlitz,17:09:00,18:36:00,114.15900905533336,1.45,Jour,0.46
IDFM:TN:SNCF:3dba610d-866a-4420-ba6d-b8c4b43ee8fe,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,12:04:00,13:27:00,128.28970372757354,1.38,Jour,0.51
IDFM:TN:SNCF:3e27e742-7568-4c9a-b93e-6bb581be99bd,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,19:27:00,20:57:00,128.29830966332557,1.5,Jour,0.51
IDFM:TN:SNCF:3f36db28-eeeb-4341-a778-031daf54be53,Paris-Bercy Bourgogne - Pays d'Auvergne,Laroche - Migennes,20:35:00,21:56:00,128.28665759181973,1.35,Jour,0.51
IDFM:TN:SNCF:3f623395-343a-45c2-b24d-668dffea6d44,Châteaudun,Gare d'Austerlitz,18:54:00,20:25:00,114.15900905533336,1.52,Jour,0.46
IDFM:TN:SNCF:3fa5e3dd-4c98-4881-aaf5-081157ded339,Gare de Lyon,Laroche - Migennes,13:34:00,14:59:00,129.07897995273925,1.42,Jour,0.52
IDFM:TN:SNCF:3fd95c90-e221-4c66-85b1-c113023b3c76,Gare de Lyon,Laroche - Migennes,17:12:00,19:07:30,129.07897995273925,1.93,Jour,0.52
IDFM:TN:SNCF:403ff34b-2d83-483e-bb75-328dd50cbd98,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,21:03:00,22:27:00,128.29830966332557,1.4,Jour,0.51
IDFM:TN:SNCF:40fe38d1-f53d-4f91-9423-28a5210659d8,Gare de Lyon,Laroche - Migennes,11:35:00,12:56:00,129.07897995273925,1.35,Jour,0.52
IDFM:TN:SNCF:41377d60-f213-4838-aa71-9f24c3410ff1,Châteaudun,Gare d'Austerlitz,12:09:00,13:37:30,114.15900905533336,1.47,Jour,0.46
