trip_id,stop_id,stop_sequence,departure_time,arrival_time,route_type,route_short_name,route_long_name
vvs-61-047-1-14-2-H-0-Special#1433-33-1,de:08115:4569:1:1,1,09:43:00,09:43:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-33-1,de:08118:4536:1:1,2,10:00:00,10:00:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-33-1,de:08118:4527:1:1,3,10:10:00,10:10:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-33-1,de:08118:5795:1:1,4,10:18:00,10:18:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-33-1,de:08118:5632:1:1,5,10:26:00,10:26:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-33-1,de:08118:7603:1:3,6,10:43:00,10:43:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-1-2,de:08115:4569:1:1,1,13:43:00,13:43:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-1-2,de:08118:4536:1:1,2,14:00:00,14:00:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-1-2,de:08118:4527:1:1,3,14:10:00,14:10:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-1-2,de:08118:5795:1:1,4,14:18:00,14:18:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-1-2,de:08118:5632:1:1,5,14:26:00,14:26:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-1-2,de:08118:7603:1:3,6,14:43:00,14:43:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-3-3,de:08115:4569:1:1,1,16:43:00,16:43:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-3-3,de:08118:4536:1:1,2,17:00:00,17:00:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-3-3,de:08118:4527:1:1,3,17:10:00,17:10:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-3-3,de:08118:5795:1:1,4,17:18:00,17:18:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-3-3,de:08118:5632:1:1,5,17:26:00,17:26:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-2-H-0-Special#1433-3-3,de:08118:7603:1:3,6,17:43:00,17:43:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-36-4,de:08118:7603:1:3,1,11:16:00,11:16:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-36-4,de:08118:5632:1:2,2,11:30:00,11:30:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-36-4,de:08118:5795:1:1,3,11:40:00,11:40:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-36-4,de:08118:4527:1:1,4,11:50:00,11:50:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-36-4,de:08118:4536:1:1,5,12:02:00,12:02:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-36-4,de:08115:4569:1:1,6,12:16:00,12:16:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-2-5,de:08118:7603:1:3,1,15:16:00,15:16:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-2-5,de:08118:5632:1:2,2,15:30:00,15:30:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-2-5,de:08118:5795:1:1,3,15:40:00,15:40:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-2-5,de:08118:4527:1:1,4,15:50:00,15:50:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-2-5,de:08118:4536:1:1,5,16:02:00,16:02:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-2-5,de:08115:4569:1:1,6,16:16:00,16:16:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-4-6,de:08118:7603:1:3,1,18:16:00,18:16:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-4-6,de:08118:5632:1:2,2,18:30:00,18:30:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-4-6,de:08118:5795:1:1,3,18:40:00,18:40:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-4-6,de:08118:4527:1:1,4,18:50:00,18:50:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-4-6,de:08118:4536:1:1,5,19:02:00,19:02:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-047-1-14-1-R-0-Special#1433-4-6,de:08115:4569:1:1,6,19:16:00,19:16:00,2,FE,Heimerdingen - Hemmingen - Korntal (Strohgäubahn)
vvs-61-065-1-1-3-H-0-Special#1433-1-1,de:08116:5794:1:1,1,12:15:00,12:15:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-1-1,de:08116:4433:1:1,2,12:21:00,12:21:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-1-1,de:08116:5793:1:1,3,12:27:00,12:27:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-1-1,de:08116:5858:0:1,4,12:32:00,12:32:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-1-1,de:08116:5863:1:1,5,12:36:00,12:36:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-1-1,de:08116:2931:2:3,6,12:41:00,12:41:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-2-2,de:08116:5794:1:1,1,15:15:00,15:15:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-2-2,de:08116:4433:1:1,2,15:21:00,15:21:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-2-2,de:08116:5793:1:1,3,15:27:00,15:27:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-2-2,de:08116:5858:0:1,4,15:32:00,15:32:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-2-2,de:08116:5863:1:1,5,15:36:00,15:36:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-2-2,de:08116:2931:2:3,6,15:41:00,15:41:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-3-3,de:08116:5794:1:1,1,17:15:00,17:15:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-3-3,de:08116:4433:1:1,2,17:21:00,17:21:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-3-3,de:08116:5793:1:1,3,17:27:00,17:27:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-3-3,de:08116:5858:0:1,4,17:32:00,17:32:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-3-3,de:08116:5863:1:1,5,17:36:00,17:36:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-3-H-0-Special#1433-3-3,de:08116:2931:2:3,6,17:41:00,17:41:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-12-4,de:08116:2931:2:3,1,11:07:00,11:07:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-12-4,de:08116:5863:1:1,2,11:10:00,11:10:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-12-4,de:08116:5858:0:1,3,11:14:00,11:14:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-12-4,de:08116:5793:1:1,4,11:20:00,11:20:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-12-4,de:08116:4433:1:1,5,11:27:00,11:27:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-12-4,de:08116:5794:1:1,6,11:35:00,11:35:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-4-5,de:08116:2931:2:3,1,13:07:00,13:07:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-4-5,de:08116:5863:1:1,2,13:10:00,13:10:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-4-5,de:08116:5858:0:1,3,13:14:00,13:14:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-4-5,de:08116:5793:1:1,4,13:20:00,13:20:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-4-5,de:08116:4433:1:1,5,13:27:00,13:27:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-4-5,de:08116:5794:1:1,6,13:35:00,13:35:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-5-6,de:08116:2931:2:3,1,16:07:00,16:07:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-5-6,de:08116:5863:1:1,2,16:10:00,16:10:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-5-6,de:08116:5858:0:1,3,16:14:00,16:14:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-5-6,de:08116:5793:1:1,4,16:20:00,16:20:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-5-6,de:08116:4433:1:1,5,16:27:00,16:27:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
vvs-61-065-1-1-2-R-0-Special#1433-5-6,de:08116:5794:1:1,6,16:35:00,16:35:00,2,SZ,Neuffen - Nürtingen (Tälesbahn)
