route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
LIVOLB,LIVOLB-10:00-18:00:00,LIVOLB-10:00-18:00:00,,,,,ITOLB-ITLIV,1,
OLBLIV,OLBLIV-10:30-19:30:00,OLBLIV-10:30-19:30:00,,,,,ITLIV-ITOLB,1,
OLBCVV,OLBCVV-12:30-18:35:00,OLBCVV-12:30-18:35:00,,,,,ITCVV-ITOLB,1,
NAPCAG,NAPCAG-19:00-32:00:00,NAPCAG-19:00-32:00:00,,,,,ITNAP-ITCAG,1,
CAGCVV,CAGCVV-20:00-35:00:00,CAGCVV-20:00-35:00:00,,,,,ITCAG-ITCVV,1,
CVVBCN,CVVBCN-21:30-41:30:00,CVVBCN-21:30-41:30:00,,,,,ITCVV-ESBCN,1,
OLBLIV,OLBLIV-22:00-31:00:00,OLBLIV-22:00-31:00:00,,,,,ITLIV-ITOLB,1,
BCNCVV,BCNCVV-22:30-42:30:00,BCNCVV-22:30-42:30:00,,,,,ESBCN-ITCVV,1,
LIVOLB,LIVOLB-22:30-30:30:00,LIVOLB-22:30-30:30:00,,,,,ITOLB-ITLIV,1,
CVVOLB,CVVOLB-22:45-29:50:00,CVVOLB-22:45-29:50:00,,,,,ITCVV-ITOLB,1,
CVVCAG,CVVCAG-20:00-35:00:00,CVVCAG-20:00-35:00:00,,,,,ITCVV-ITCAG,1,
CVVPTO,CVVPTO-20:30-27:45:00,CVVPTO-20:30-27:45:00,,,,,ITCVV-ITPTO,1,
CVVBCN,CVVBCN-20:30-40:30:00,CVVBCN-20:30-40:30:00,,,,,ITCVV-ESBCN,1,
BCNPTO,BCNPTO-20:30-32:45:00,BCNPTO-20:30-32:45:00,,,,,ITPTO-ESBCN,1,
BCNCVV,BCNCVV-20:30-40:30:00,BCNCVV-20:30-40:30:00,,,,,ESBCN-ITCVV,1,
PTOBCN,PTOBCN-06:15-18:30:00,PTOBCN-06:15-18:30:00,,,,,ESBCN-ITPTO,1,
PTOCVV,PTOCVV-10:45-18:00:00,PTOCVV-10:45-18:00:00,,,,,ITCVV-ITPTO,1,
CVVBCN,CVVBCN-22:30-42:30:00,CVVBCN-22:30-42:30:00,,,,,ITCVV-ESBCN,1,
CVVPTO,CVVPTO-22:30-29:45:00,CVVPTO-22:30-29:45:00,,,,,ITCVV-ITPTO,1,
BCNPTO,BCNPTO-22:45-35:00:00,BCNPTO-22:45-35:00:00,,,,,ITPTO-ESBCN,1,
BCNCVV,BCNCVV-22:45-42:45:00,BCNCVV-22:45-42:45:00,,,,,ESBCN-ITCVV,1,
PTOBCN,PTOBCN-07:45-20:00:00,PTOBCN-07:45-20:00:00,,,,,ESBCN-ITPTO,1,
PTOCVV,PTOCVV-13:00-20:15:00,PTOCVV-13:00-20:15:00,,,,,ITCVV-ITPTO,1,
CVVPTO,CVVPTO-00:30-07:45:00,CVVPTO-00:30-07:45:00,,,,,ITCVV-ITPTO,1,
CVVBCN,CVVBCN-00:30-20:30:00,CVVBCN-00:30-20:30:00,,,,,ITCVV-ESBCN,1,
BCNCVV,BCNCVV-00:30-20:30:00,BCNCVV-00:30-20:30:00,,,,,ESBCN-ITCVV,1,
BCNPTO,BCNPTO-00:30-12:45:00,BCNPTO-00:30-12:45:00,,,,,ITPTO-ESBCN,1,
PMOCAG,PMOCAG-09:00-22:05:00,PMOCAG-09:00-22:05:00,,,,,ITPMO-ITCAG,1,
PTOBCN,PTOBCN-09:45-22:00:00,PTOBCN-09:45-22:00:00,,,,,ESBCN-ITPTO,1,
PTOCVV,PTOCVV-14:45-22:00:00,PTOCVV-14:45-22:00:00,,,,,ITCVV-ITPTO,1,
BCNPTO,BCNPTO-21:00-33:15:00,BCNPTO-21:00-33:15:00,,,,,ITPTO-ESBCN,1,
CVVBCN,CVVBCN-21:00-41:00:00,CVVBCN-21:00-41:00:00,,,,,ITCVV-ESBCN,1,
CVVPTO,CVVPTO-21:00-28:15:00,CVVPTO-21:00-28:15:00,,,,,ITCVV-ITPTO,1,
BCNCVV,BCNCVV-21:00-41:00:00,BCNCVV-21:00-41:00:00,,,,,ESBCN-ITCVV,1,
PTOBCN,PTOBCN-06:00-18:15:00,PTOBCN-06:00-18:15:00,,,,,ESBCN-ITPTO,1,
PTOCVV,PTOCVV-11:00-18:15:00,PTOCVV-11:00-18:15:00,,,,,ITCVV-ITPTO,1,
BCNCVV,BCNCVV-21:30-41:30:00,BCNCVV-21:30-41:30:00,,,,,ESBCN-ITCVV,1,
BCNCVV,BCNCVV-21:15-41:15:00,BCNCVV-21:15-41:15:00,,,,,ESBCN-ITCVV,1,
CVVBCN,CVVBCN-21:15-41:15:00,CVVBCN-21:15-41:15:00,,,,,ITCVV-ESBCN,1,
BCNCVV,BCNCVV-21:45-41:45:00,BCNCVV-21:45-41:45:00,,,,,ESBCN-ITCVV,1,
CVVBCN,CVVBCN-21:45-41:45:00,CVVBCN-21:45-41:45:00,,,,,ITCVV-ESBCN,1,
BCNCVV,BCNCVV-22:00-42:00:00,BCNCVV-22:00-42:00:00,,,,,ESBCN-ITCVV,1,
BCNPTO,BCNPTO-22:00-34:15:00,BCNPTO-22:00-34:15:00,,,,,ITPTO-ESBCN,1,
CVVPTO,CVVPTO-22:00-29:15:00,CVVPTO-22:00-29:15:00,,,,,ITCVV-ITPTO,1,
CVVBCN,CVVBCN-22:00-42:00:00,CVVBCN-22:00-42:00:00,,,,,ITCVV-ESBCN,1,
PTOBCN,PTOBCN-06:45-19:00:00,PTOBCN-06:45-19:00:00,,,,,ESBCN-ITPTO,1,
PTOCVV,PTOCVV-12:45-20:00:00,PTOCVV-12:45-20:00:00,,,,,ITCVV-ITPTO,1,
CVVBCN,CVVBCN-23:59-43:59:00,CVVBCN-23:59-43:59:00,,,,,ITCVV-ESBCN,1,
CVVPTO,CVVPTO-23:59-31:14:00,CVVPTO-23:59-31:14:00,,,,,ITCVV-ITPTO,1,
BCNPTO,BCNPTO-23:59-36:14:00,BCNPTO-23:59-36:14:00,,,,,ITPTO-ESBCN,1,
BCNCVV,BCNCVV-23:59-43:59:00,BCNCVV-23:59-43:59:00,,,,,ESBCN-ITCVV,1,
PTOBCN,PTOBCN-08:45-21:00:00,PTOBCN-08:45-21:00:00,,,,,ESBCN-ITPTO,1,
CVVBCN,CVVBCN-02:00-22:00:00,CVVBCN-02:00-22:00:00,,,,,ITCVV-ESBCN,1,
BCNCVV,BCNCVV-02:00-22:00:00,BCNCVV-02:00-22:00:00,,,,,ESBCN-ITCVV,1,
LIVOLB,LIVOLB-22:00-30:00:00,LIVOLB-22:00-30:00:00,,,,,ITOLB-ITLIV,1,
PTOBCN,PTOBCN-10:00-22:15:00,PTOBCN-10:00-22:15:00,,,,,ESBCN-ITPTO,1,
PTOCVV,PTOCVV-16:00-23:15:00,PTOCVV-16:00-23:15:00,,,,,ITCVV-ITPTO,1,
CVVBCN,CVVBCN-23:00-43:00:00,CVVBCN-23:00-43:00:00,,,,,ITCVV-ESBCN,1,
BCNCVV,BCNCVV-23:00-43:00:00,BCNCVV-23:00-43:00:00,,,,,ESBCN-ITCVV,1,
BCNCVV,BCNCVV-01:30-21:30:00,BCNCVV-01:30-21:30:00,,,,,ESBCN-ITCVV,1,
CVVBCN,CVVBCN-01:30-21:30:00,CVVBCN-01:30-21:30:00,,,,,ITCVV-ESBCN,1,
LIVOLB,LIVOLB-21:30-29:30:00,LIVOLB-21:30-29:30:00,,,,,ITOLB-ITLIV,1,
OLBLIV,OLBLIV-21:30-30:30:00,OLBLIV-21:30-30:30:00,,,,,ITLIV-ITOLB,1,
CVVBCN,CVVBCN-23:30-43:30:00,CVVBCN-23:30-43:30:00,,,,,ITCVV-ESBCN,1,
PTOBCN,PTOBCN-08:00-20:15:00,PTOBCN-08:00-20:15:00,,,,,ESBCN-ITPTO,1,
LIVOLB,LIVOLB-10:30-18:30:00,LIVOLB-10:30-18:30:00,,,,,ITOLB-ITLIV,1,
OLBLIV,OLBLIV-22:30-31:30:00,OLBLIV-22:30-31:30:00,,,,,ITLIV-ITOLB,1,
